許可證字號,藥廠,顯示名稱,分類標籤,濃縮倍數,濃縮生藥組成,原粉生藥組成,賦形劑組成,解析狀態,人工校正提示,原始處方(供對照用)
衛署藥製字第000510號,順天堂,苦荊散濃縮散(順天堂),濃縮散劑,5.3,苦參:5.3,荊芥:1.1,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每2.1公克中含有：
 
 苦參 (5.3 g)
 
 以上生藥製成浸膏1.0g(生藥與浸膏比例5.3:1.0=5.3:1) ( )
 
 荊芥 (1.1 g)"
衛署藥製字第001135號,順天堂,薤白濃縮顆粒(順天堂),濃縮顆粒劑,5.52,薤白:3.7,薤白:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 薤白 (3.7 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例3.7:0.67=5.52:1) ( )
 
 薤白 (0.33 g)"
衛署藥製字第001277號,天一,寶泰隆苑志紫金錠(天一),錠劑,1,,山慈姑:0.06528|五倍子:0.06528|大戟:0.04896|白檀香:0.04896|安息香:0.04896|蘇合油:0.04896|千金子:0.03264|明雄黃:0.01632|琥珀:0.01632|冰片:0.0102|糯米汁:0.08996|飛金:0.00816,,✅ 成功(原粉/非濃縮),自動判定為原粉劑型，倍數設為 1。,"處方:每錠(500mg)中含有：
 
 山慈姑 (65.28 mg)
 
 五倍子 (65.28 mg)
 
 大戟 (48.96 mg)
 
 白檀香 (48.96 mg)
 
 安息香 (48.96 mg)
 
 蘇合油 (48.96 mg)
 
 千金子 (32.64 mg)
 
 明雄黃 (16.32 mg)
 
 琥珀 (16.32 mg)
 
 冰片 (10.20 mg)
 
 糯米汁 (89.96 mg)
 
 飛金 (8.16 mg)"
衛署藥製字第001281號,順天堂,蒼耳子濃縮顆粒(順天堂),濃縮顆粒劑,9.22,蒼耳子:6.18,蒼耳子:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 蒼耳子 (6.18 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例6.18:0.67=9.22:1) ( )
 
 蒼耳子 (0.33 g)"
衛署藥製字第001282號,順天堂,蒺藜濃縮顆粒(順天堂),濃縮顆粒劑,6.63,蒺藜:4.44,蒺藜:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 蒺藜 (4.44 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例4.44:0.67=6.63:1) ( )
 
 蒺藜 (0.33 g)"
衛署藥製字第001391號,其他藥廠,寶泰隆苑志牛黃清心丸(去麝香、去羚羊角、去犀角,丸劑,1,,牛黃:0.0513|柴胡:0.0513|桔梗:0.0513|川芎:0.0513|茯苓:0.0513|杏仁:0.0513|白芍:0.0616|麥門冬:0.0616|黃芩:0.0616|當歸:0.0616|防風:0.0616|白朮:0.0616|神麴:0.1027|蒲黃:0.1027|人參:0.1027|龍腦:0.041|肉桂:0.0719|大豆黃卷:0.0719|阿膠:0.0719|白蘞:0.0308|乾薑:0.0308|雄黃:0.0318|金箔:0.0318|甘草:0.2053|山藥:0.2823|大棗:0.4096,精製蜂蜜:0.7354,✅ 成功(原粉/非濃縮),自動判定為原粉劑型，倍數設為 1。,"處方:每丸(3g)中含有：
 
 牛黃 (51.3 mg)
 
 柴胡 (51.3 mg)
 
 桔梗 (51.3 mg)
 
 川芎 (51.3 mg)
 
 茯苓 (51.3 mg)
 
 杏仁 (51.3 mg)
 
 白芍 (61.6 mg)
 
 麥門冬 (61.6 mg)
 
 黃芩 (61.6 mg)
 
 當歸 (61.6 mg)
 
 防風 (61.6 mg)
 
 白朮 (61.6 mg)
 
 神麴 (102.7 mg)
 
 蒲黃 (102.7 mg)
 
 人參 (102.7 mg)
 
 龍腦 (41.0 mg)
 
 肉桂 (71.9 mg)
 
 大豆黃卷 (71.9 mg)
 
 阿膠 (71.9 mg)
 
 白蘞 (30.8 mg)
 
 乾薑 (30.8 mg)
 
 雄黃 (31.8 mg)
 
 金箔 (31.8 mg)
 
 甘草 (205.3 mg)
 
 山藥 (282.3 mg)
 
 大棗 (409.6 mg)
 
 精製蜂蜜 (735.4 mg)"
衛署藥製字第001588號,順天堂,黃精濃縮顆粒(順天堂),濃縮顆粒劑,2.21,黃精:1.48,黃精:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 黃精 (1.48 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例1.48:0.67=2.21:1) ( )
 
 黃精 (0.33 g)"
衛署藥製字第002029號,萬國,防風通聖散(萬國),散劑,1,,防風:0.256|川芎:0.256|當歸:0.256|赤芍:0.256|大黃:0.256|蘇葉:0.256|薄荷:0.256|麻黃:0.256|連翹:0.256|芒硝:0.256|石膏:0.576|黃芩:0.512|桔梗:0.512|滑石:1.536|甘草:1.024|荊芥穗:0.16|白朮:0.16|梔子:0.16|生薑:0.8,,✅ 成功(原粉/非濃縮),自動判定為原粉劑型，倍數設為 1。,"處方:每８gm中含有：
 
 防風 (0.256 gm)
 
 川芎 (0.256 gm)
 
 當歸 (0.256 gm)
 
 赤芍 (0.256 gm)
 
 大黃 (0.256 gm)
 
 蘇葉 (0.256 gm)
 
 薄荷 (0.256 gm)
 
 麻黃 (0.256 gm)
 
 連翹 (0.256 gm)
 
 芒硝 (0.256 gm)
 
 石膏 (0.576 gm)
 
 黃芩 (0.512 gm)
 
 桔梗 (0.512 gm)
 
 滑石 (1.536 gm)
 
 甘草 (1.024 gm)
 
 荊芥穗 (0.160 gm)
 
 白朮 (0.160 gm)
 
 梔子 (0.160 gm)
 
 生薑 (0.800 gm)"
衛署藥製字第002038號,順天堂,沒藥濃縮顆粒(順天堂),濃縮顆粒劑,5.18,沒藥:3.47,沒藥:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 沒藥 (3.47 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例3.47:0.67=5.18:1) ( )
 
 沒藥 (0.33 g)"
衛署藥製字第002042號,順天堂,白花蓮濃縮顆粒(順天堂),濃縮顆粒劑,4.15,白花蓮:2.78,白花蓮:0.33,,✅ 成功(含原粉部分拔提),成功分流濃縮與原粉藥材。,"處方:每公克中含有：
 
 白花蓮 (2.78 g)
 
 以上生藥製成浸膏0.67g(生藥與浸膏比例2.78:0.67=4.15:1) ( )
 
 白花蓮 (0.33 g)"
